,instance,type,num items,min i. value,max i. value,avg i. value,sum i. value,c. is rect,num grid points,num sides c.,area c.,min i. sides,max i. sides,avg i. sides,min i. area,max i. area,avg i. area,avg i-c area ratio,lower bound,upper bound,num i. packed,total score,improvement,loss,coverage,utilization,ms,best algorithm,best score
0,jigsaw_cf2_x1e8d2b3_39,JIGSAW,39,14,408,100.46153846153848,3918,False,15728633415755760,19,1.5728633408978978e+16,3,10,4.897435897435898,126645214092187.0,3924941568199236.0,962113186755473.0,0.0611695346784694,0,1650,12,895,inf,3023,8565427559486174.0,0.5445754463700859,0,-value,1114.0
1,jigsaw_cf2_x38b54e9_31,JIGSAW,31,6,433,100.4516129032258,3114,False,15746570865265774,15,1.5746570858056388e+16,3,10,4.516129032258065,58849221617697.0,4480803921684445.0,1035016880138855.6,0.0657296683493036,0,1533,15,1068,inf,2046,1.099421509747007e+16,0.6981974168582311,0,-height,1068.0
2,random_cf3_1ec21f4b_100,RANDOM,100,3,228,100.55,10055,False,3157150125005,8,3157150000000.0,3,17,7.63,800000000.0,108150000000.0,32801500000.0,0.0103895918787514,0,9815,78,7340,inf,2715,2403350000000.0,0.7612403591847078,0,-value,9561.0
3,random_cf4_x414b785_100,RANDOM,100,7,249,100.48,10048,False,1539200775006,11,1539200000000.0,3,17,5.7,2050000000.0,83950000000.0,28631000000.0,0.0186012214137214,0,6107,63,6021,inf,4027,1534450000000.0,0.9969139812889812,0,-value,6962.0
4,jigsaw_cf2_5db5d75a_34,JIGSAW,34,26,246,100.44117647058825,3415,False,23291030795147112,12,2.329103078481137e+16,3,10,4.470588235294118,381513860152600.0,3640438436261752.0,1481103012753372.0,0.0635911319871353,0,1584,7,952,inf,2463,1.4046917155292442e+16,0.6031041427523581,0,-value,1055.0
5,random_rcf1_477eb796_50,RANDOM,50,1,3,1.98,99,False,63905001200006,9,63905000000000.0,3,17,6.62,185000000000.0,5755000000000.0,1673400000000.0,0.0261857444644394,0,93,26,61,inf,38,44710000000000.0,0.6996322666458024,0,+height,82.0
6,jigsaw_cf1_504b1421_159,JIGSAW,159,1,1,1.0,159,False,20338629234290312,12,2.0338629224713944e+16,3,15,4.377358490566038,2262654206042.0,1799731448932195.0,236004429399146.88,0.0116037529762513,0,141,61,61,inf,98,1.3812080838428528e+16,0.6791057885870275,0,-ratio,103.0
7,jigsaw_cf2_xe148943_75,JIGSAW,75,2,626,100.44,7533,False,13178897701159348,20,1.317889769475162e+16,3,11,4.36,7507005398860.0,2581289849486169.0,412497851894531.5,0.0312998751070664,0,3225,33,2138,inf,5395,8745662719424916.0,0.663611094189448,0,-value,2386.0
8,jigsaw_rcf1_x3d166d9_70,JIGSAW,70,1,3,2.142857142857143,150,False,16177267975254500,18,1.6177267967868788e+16,3,15,4.885714285714286,7741232402731.0,2518845629080757.0,383672403671728.5,0.0237167613489358,0,141,45,93,inf,57,9652658927374430.0,0.5966804126967851,0,-ratio,116.0
9,jigsaw_cf1_7b534d0f_30,JIGSAW,30,1,1,1.0,30,False,21213009990704408,11,2.1213009981539696e+16,3,15,5.033333333333333,455079508531760.0,4099383138115863.0,1271685570768417.5,0.0599483794084424,0,22,7,7,inf,23,1.3153089446409324e+16,0.620048237277765,0,+height,12.0
10,jigsaw_cf4_273db689_28,JIGSAW,28,27,227,100.46428571428572,2813,False,20142359673860468,15,2.0142359666003804e+16,3,12,4.428571428571429,354932896112448.0,3082839619743706.0,1356263646306235.2,0.067333900734348,0,1500,7,772,inf,2041,1.0470974626598416e+16,0.5198484586823899,0,+ratio,816.0
11,random_cf3_1c1ba767_50,RANDOM,50,3,253,100.54,5027,False,49760002231920,19,49760000000000.0,3,7,4.44,50000000000.0,5855000000000.0,1733200000000.0,0.0348311897106109,0,3195,19,1999,inf,3028,34940000000000.0,0.7021704180064309,0,-value,2315.0
12,jigsaw_cf3_xcd14250_28,JIGSAW,28,6,379,100.35714285714286,2810,False,14882123360044084,15,1.488212335314454e+16,3,11,5.178571428571429,57085719772872.0,4374947794778328.0,1055284219974801.8,0.070909519759613,0,1535,12,949,inf,1861,1.0205042778678816e+16,0.6857249154921516,0,-value,976.0
13,jigsaw_cf3_x21b52c8_130,JIGSAW,130,6,552,100.48461538461538,13063,False,20090740511543204,17,2.009074050214325e+16,3,13,4.615384615384615,14481984063338.5,522790211451237.5,162946314408425.03,0.0081105180961867,0,12645,58,6215,inf,6848,9545569209249466.0,0.4751228163158624,0,-value,7326.0
14,jigsaw_rcf2_534443c6_61,JIGSAW,61,6,2062,195.1639344262295,11905,False,20193365402183924,11,2.019336539415057e+16,3,12,4.786885245901639,22378422494913.5,5164696593532254.0,501278379146979.4,0.0248239146552651,0,9767,33,4304,inf,7601,1.0313550160159018e+16,0.5107395403812458,0,-value,6522.0
